,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract,Store_Type
108560,Soon's 1,5201 S 15th Ave,,Phoenix,AZ,85041,3920,MARICOPA,-112.09051,33.399261,108561,4.01E+13,4013115700,0
48005,Star Mini Mart Beer & Wine,11817 W Thunderbird Rd,,El Mirage,AZ,85335,7009,MARICOPA,-112.31495,33.608871,48006,4.01E+13,4013060904,0
204442,T Bird Mini 1,12550 W Thunderbird Rd,Ste 101,El Mirage,AZ,85335,4966,MARICOPA,-112.32945,33.609035,204443,4.01E+13,4013060902,0
18727,Tonys Mini 1 Llc 1,3563 W Dunlap Ave,,Phoenix,AZ,85051,5303,MARICOPA,-112.13595,33.567501,18728,4.01E+13,4013105702,0
241802,VA 1 ,907 N 32nd St,,Phoenix,AZ,85008,6208,MARICOPA,-112.01258,33.457909,241803,4.01E+13,4013113602,0
187837,"Veliz Partnership Llc, Dba 0 La Herradura",10720 W Indian School Rd,Ste 58,Phoenix,AZ,85037,5724,MARICOPA,-112.29147,33.493629,187838,4.01E+13,4013082012,0
243225,W Mart,7919 E Thomas Rd,Ste 104,Scottsdale,AZ,85251,6540,MARICOPA,-111.91091,33.479321,243226,4.01E+13,4013217900,0
95723,Wintersburg General Store,2614 S Wintersburg Rd,,Tonopah,AZ,85354,7526,MARICOPA,-112.86781,33.422482,95724,4.01E+13,4013050603,0
79890,WONGS MINI MART,2803 E Broadway Rd,,Phoenix,AZ,85040,2717,MARICOPA,-112.02095,33.406906,79891,4.01E+13,4013116100,0
151589,W-y 1,1819 W Buckeye Rd,,Phoenix,AZ,85007,3522,MARICOPA,-112.09823,33.436718,151590,4.01E+13,4013114800,0
242109,Yes Mart,5448 S Central Ave,,Phoenix,AZ,85040,3051,MARICOPA,-112.07372,33.396008,242110,4.01E+13,4013115802,0
212653,YOGIE'S 1 INC,610 W Dunlap Ave,,Phoenix,AZ,85021,3527,MARICOPA,-112.08154,33.567612,212654,4.01E+13,4013104600,0
1997,BC Produce LLC 1,4845 W McDowell Rd,Ste 70a,Phoenix,AZ,85035,4081,MARICOPA,-112.16345,33.465076,1998,4.01E+13,4013112507,0
146818,G&v Investments Saratoga Llc,1460 E Bell Rd,,Phoenix,AZ,85022,,MARICOPA,-112.05132,33.640511,146819,4.01E+13,4013619200,0
55402,Gateway Community College (Central City Campus),1245 E Buckeye Rd,,Phoenix,AZ,85034,4101,MARICOPA,-112.05466,33.436771,55403,4.01E+13,4013117200,0
38804,Good Deals,1926 W Cactus Rd,,Phoenix,AZ,85029,2706,MARICOPA,-112.1006,33.596561,38805,4.01E+13,4013103900,0
116937,Little India 0,1813 E Baseline Rd,Ste 108,Tempe,AZ,85283,1881,MARICOPA,-111.90706,33.378376,116938,4.01E+13,4013319904,0
5734,Lucky's Favor African 1,6220 N 43rd Ave,,Glendale,AZ,85301,5407,MARICOPA,-112.15153,33.526726,5735,4.01E+13,4013093002,0
12435,Phoenix Retail Asociates Llc,13648 N 19th Ave,,Phoenix,AZ,85029,1644,MARICOPA,-112.09967,33.609749,12436,4.01E+13,4013103900,0
67854,Ponis African Retail Shop,6601 W Bethany Home Rd,Suite 5-a,Glendale,AZ,85301,,MARICOPA,-112.20118,33.523273,67855,4.01E+13,4013093105,0
36048,T & B Holdings Llc,2180 E Broadway Rd,,Tempe,AZ,85282,1741,MARICOPA,-111.89243,33.407585,36049,4.01E+13,4013319202,0
233874,Tienda Centroamericana,4424 N 19th Ave,,Phoenix,AZ,85015,4114,MARICOPA,-112.09993,33.501556,233875,4.01E+13,4013109003,0
219267,Tienda Santaneca 01,5825 W Indian School Rd,,Phoenix,AZ,85031,2420,MARICOPA,-112.18541,33.495026,219268,4.01E+13,4013109900,0
242340,A & H  1,6333 N 59th Ave,Ste 6,Glendale,AZ,85301,4470,MARICOPA,-112.18565,33.529339,242341,4.01E+13,4013092900,0
106563,CVS 10007,6045 N Scottsdale Rd,,Scottsdale,AZ,85253,,MARICOPA,-111.92607,33.521179,106564,4.01E+13,4013217001,0
144660,CVS 10529,7111 E Bell Rd,,Scottsdale,AZ,85254,5638,MARICOPA,-111.9273,33.638424,144661,4.01E+13,4013103219,0
43132,CVS 10616,7547 E Southern Ave,,Mesa,AZ,85209,2741,MARICOPA,-111.66825,33.393394,43133,4.01E+13,4013422633,0
31298,CVS 10928,909 E Apache Blvd,,Tempe,AZ,85281,5817,MARICOPA,-111.92596,33.414677,31299,4.01E+13,4013319104,0
113281,CVS 1743,13870 W Greenway Rd,,Surprise,AZ,85374,5293,MARICOPA,-112.35831,33.623787,113282,4.01E+13,4013061029,0
113282,CVS 1744,6650 W Lower Buckeye Rd,,Phoenix,AZ,85043,7804,MARICOPA,-112.20326,33.422817,113283,4.01E+13,4013112513,0
113270,CVS 3383,7550 S 19th Ave,,Phoenix,AZ,85041,6502,MARICOPA,-112.09918,33.378407,113271,4.01E+13,4013116613,0
113271,CVS 3500,1625 N 44th St,,Phoenix,AZ,85008,4124,MARICOPA,-111.98695,33.465919,113272,4.01E+13,4013111300,0
113285,CVS 3965,5975 W Chandler Blvd,,Chandler,AZ,85226,3422,MARICOPA,-111.94498,33.305264,113286,4.01E+13,4013810900,0
113703,CVS 3967,3990 W Ray Rd,,Chandler,AZ,85226,2478,MARICOPA,-111.91036,33.320137,113704,4.01E+13,4013810200,0
113706,CVS 4795,6015 E Brown Rd,,Mesa,AZ,85205,4452,MARICOPA,-111.70143,33.437332,113707,4.01E+13,4013420202,0
113710,CVS 5029,9230 E Broadway Rd,,Mesa,AZ,85208,2426,MARICOPA,-111.63197,33.407887,113711,4.01E+13,4013422628,0
113711,CVS 5303,9152 E Brown Rd,,Mesa,AZ,85207,4339,MARICOPA,-111.63541,33.436966,113712,4.01E+13,4013420105,0
114396,CVS 5315,2005 N Dobson Rd,,Chandler,AZ,85224,2294,MARICOPA,-111.87641,33.335491,114397,4.01E+13,4013422210,0
41660,CVS 5530,15300 N Cotton Ln,,Surprise,AZ,85374,,MARICOPA,-112.42671,33.645988,41661,4.01E+13,4013040527,0
114398,CVS 5779,360 N Val Vista Dr,,Mesa,AZ,85213,8624,MARICOPA,-111.75368,33.422192,114399,4.01E+13,4013420707,0
114399,CVS 5794,9069 W Lake Pleasant Pkwy,,Peoria,AZ,85382,8361,MARICOPA,-112.25439,33.674404,114400,4.01E+13,4013613700,0
113277,CVS 89,10010 N Scottsdale Rd,,Paradise Valley,AZ,85253,1421,MARICOPA,-111.92619,33.57671,113278,4.01E+13,4013216830,0
222558,CVS PHARMACY #10229 10229,280 N Avondale Blvd,,Avondale,AZ,85323,6902,MARICOPA,-112.30665,33.44891,222559,4.01E+13,4013082026,0
120546,CVS Pharmacy 10150,28635 N Valley Pkwy,,Phoenix,AZ,85085,,MARICOPA,-112.10712,33.741459,120547,4.01E+13,4013612200,0
228236,CVS Pharmacy 10615,5450 W Happy Valley Rd,,Phoenix,AZ,85308,,MARICOPA,-112.17768,33.712463,228237,4.01E+13,4013611500,0
194255,CVS PHARMACY 17,18591 N 59th Ave,,Glendale,AZ,85308,1251,MARICOPA,-112.1862,33.65398,194256,4.01E+13,4013618000,0
120294,CVS Pharmacy 1716,21087 W Main St,,Buckeye,AZ,85396,3500,MARICOPA,-112.51309,33.495853,120295,4.01E+13,4013050606,0
138676,CVS Pharmacy 1719,7587 S Power Rd,,Queen Creek,AZ,85142,6323,MARICOPA,-111.68611,33.279037,138677,4.01E+13,4013816600,0
120293,CVS Pharmacy 1720,21200 E Ocotillo Rd,,Queen Creek,AZ,85142,9339,MARICOPA,-111.62622,33.24876,120294,4.01E+13,4013817100,0
106276,CVS Pharmacy 1759,10 E Dunlap Ave,,Phoenix,AZ,85020,2821,MARICOPA,-112.07336,33.567757,106277,4.01E+13,4013104600,0
138674,CVS Pharmacy 193,4990 S Arizona Ave,,Chandler,AZ,85248,5021,MARICOPA,-111.84135,33.242676,138675,4.01E+13,4013813000,0
46634,CVS Pharmacy 2372,3975 E Thunderbird Rd,,Phoenix,AZ,85032,5711,MARICOPA,-111.99619,33.611813,46635,4.01E+13,4013103400,0
46635,CVS Pharmacy 2963,711 E Indian School Rd,,Phoenix,AZ,85014,4620,MARICOPA,-112.06494,33.494656,46636,4.01E+13,4013110600,0
191623,CVS PHARMACY 3143,990 E Warner Rd,,Chandler,AZ,85225,992,MARICOPA,-111.82509,33.33532,191624,4.01E+13,4013422304,0
194256,CVS PHARMACY 32,5400 E Carefree Hwy,,Carefree,AZ,85331,,MARICOPA,-111.96445,33.799324,194257,4.01E+13,4013030401,0
191627,CVS PHARMACY 3264,3210 E Union Hills Dr,,Phoenix,AZ,85050,3223,MARICOPA,-112.01278,33.655159,191628,4.01E+13,4013617200,0
191949,CVS PHARMACY 3268,765 S Lindsay Rd,,Gilbert,AZ,85296,3063,MARICOPA,-111.77285,33.336304,191950,4.01E+13,4013422511,0
189431,CVS PHARMACY 3272,2371 E Guadalupe Rd,,Gilbert,AZ,85234,5113,MARICOPA,-111.73954,33.364742,189432,4.01E+13,4013422510,0
194248,CVS PHARMACY 33,1750 E Broadway Rd,,Tempe,AZ,85282,1612,MARICOPA,-111.90973,33.407597,194249,4.01E+13,4013319104,0
191952,CVS PHARMACY 3436,2809 S Sossaman Rd,,Mesa,AZ,85212,9622,MARICOPA,-111.67063,33.36462,191953,4.01E+13,4013422641,0
191954,CVS PHARMACY 3491,9546 E Riggs Rd,,Sun Lakes,AZ,85248,7463,MARICOPA,-111.87653,33.218109,191955,4.01E+13,4013817300,0
189429,CVS PHARMACY 3625,8245 W Thomas Rd,,Phoenix,AZ,85033,4722,MARICOPA,-112.23752,33.479782,189430,4.01E+13,4013112509,0
191955,CVS PHARMACY 3745,10727 W Olive Ave,,Peoria,AZ,85345,9202,MARICOPA,-112.29054,33.565601,191956,4.01E+13,4013092723,0
189140,CVS PHARMACY 3749,2840 N Dysart Rd,,Goodyear,AZ,85395,2338,MARICOPA,-112.34109,33.477913,189141,4.01E+13,4013061012,0
194261,CVS PHARMACY 40,1424 W Baseline Rd,,Tempe,AZ,85283,1118,MARICOPA,-111.96248,33.378277,194262,4.01E+13,4013319703,0
113707,CVS Pharmacy 5026,1212 S Greenfield Rd,,Mesa,AZ,85204,,MARICOPA,-111.73666,33.393013,113708,4.01E+13,4013422514,0
107852,CVS Pharmacy 5038,2010 S Dobson Rd,,Chandler,AZ,85248,,MARICOPA,-111.88136,33.260899,107853,4.01E+13,4013812600,0
194258,CVS PHARMACY 52,4657 E Chandler Blvd,,Phoenix,AZ,85048,424,MARICOPA,-111.98092,33.305164,194259,4.01E+13,4013116712,0
120292,CVS Pharmacy 5477,15474 W Greenway Rd,,Surprise,AZ,85374,4348,MARICOPA,-112.39332,33.624146,120293,4.01E+13,4013061028,0
198500,CVS PHARMACY 5778,4040 N 19th Ave,,Phoenix,AZ,85015,5303,MARICOPA,-112.09995,33.494152,198501,4.01E+13,4013117000,0
76768,CVS Pharmacy 5791,4890 N Litchfield Rd,,Litchfield Park,AZ,85340,5015,MARICOPA,-112.35813,33.509384,76769,4.01E+13,4013061045,0
114779,CVS Pharmacy 5812,5954 E McDowell Rd,,Mesa,AZ,85215,9607,MARICOPA,-111.70223,33.466358,114780,4.01E+13,4013420206,0
114780,CVS Pharmacy 5814,9950 E Guadalupe Rd,,Mesa,AZ,85212,2135,MARICOPA,-111.62101,33.364552,114781,4.01E+13,4013422642,0
120333,CVS Pharmacy 5849,990 E Pecos Rd,,Chandler,AZ,85225,2461,MARICOPA,-111.82518,33.291698,120334,4.01E+13,4013523102,0
114782,CVS Pharmacy 5891,3170 S Higley Rd,,Gilbert,AZ,85236,,MARICOPA,-111.72111,33.293053,114783,4.01E+13,4013815500,0
115924,CVS Pharmacy 5892,5050 W Baseline Rd,,Laveen,AZ,85041,,MARICOPA,-112.16743,33.377693,115925,4.01E+13,4013116605,0
115925,CVS Pharmacy 5950,855 E Elliot Rd,,Tempe,AZ,85284,1584,MARICOPA,-111.92909,33.349064,115926,4.01E+13,4013319910,0
106277,CVS Pharmacy 6718,5835 W Indian School Rd,,Phoenix,AZ,85031,2420,MARICOPA,-112.18555,33.495003,106278,4.01E+13,4013109900,0
106278,CVS Pharmacy 6862,1850 W Dunlap Ave,,Phoenix,AZ,85021,2943,MARICOPA,-112.09845,33.56765,106279,4.01E+13,4013104501,0
106275,CVS Pharmacy 69,8332 W Thunderbird Rd,,Peoria,AZ,85381,4822,MARICOPA,-112.2382,33.609978,106276,4.01E+13,4013071515,0
194249,CVS PHARMACY 7,9901B W Thunderbird Blvd,,Sun City,AZ,85351,2865,MARICOPA,-112.26846,33.609154,194250,4.01E+13,4013071503,0
120290,CVS Pharmacy 7075,2995 E Chandler Heights Rd,,Chandler,AZ,85249,3302,MARICOPA,-111.78962,33.233673,120291,4.01E+13,4013813500,0
115927,CVS Pharmacy 7078,3303 S Rural St,,Tempe,AZ,85281,,MARICOPA,-111.92632,33.421497,115928,4.01E+13,4013319000,0
106279,CVS Pharmacy 7115,7530 W Cactus Rd,,Peoria,AZ,85381,5202,MARICOPA,-112.22101,33.595867,106280,4.01E+13,4013071512,0
106282,CVS Pharmacy 7116,1855 W Thunderbird Rd,,Phoenix,AZ,85023,6308,MARICOPA,-112.09937,33.611061,106283,4.01E+13,4013103614,0
115931,CVS Pharmacy 7262,18460 N 7th St,,Phoenix,AZ,85022,1108,MARICOPA,-112.06564,33.654434,115932,4.01E+13,4013618900,0
120324,CVS Pharmacy 7263,10707 W Camelback Rd,,Phoenix,AZ,85037,5073,MARICOPA,-112.29079,33.508121,120325,4.01E+13,4013082012,0
120300,CVS Pharmacy 7264,39510 N Gavilan Peak Pkwy,,Anthem,AZ,85086,2777,MARICOPA,-112.13536,33.843483,120301,4.01E+13,4013610300,0
