,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
84,04013061035,73442.0,SAFEWAY 2699,13828 W Waddell Rd,,Surprise,AZ,85379.0,3802.0,MARICOPA,-112.35768999999999,33.609249,73443.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
85,04013061036,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
86,04013061037,97551.0,Bashas' 137,15367 W Waddell Rd,,Surprise,AZ,85379.0,5132.0,MARICOPA,-112.39095,33.609486,97552.0,40100000000000.0,GroceryStore,3.989204532391526,0.0,1.0
87,04013061038,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
88,04013061039,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
89,04013061040,,,,,,,,,,,,,,,3.989204532391526,1.0,0.0
90,04013061041,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
91,04013061042,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
92,04013061043,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
93,04013061044,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
94,04013061045,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
95,04013061046,,,,,,,,,,,,,,,3.989204532391526,3.0,0.0
96,04013061047,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
97,04013061100,,,,,,,,,,,,,,,3.989204532391526,5.0,0.0
98,04013061200,28124.0,Food City 93,1450 N Dysart Rd,,Avondale,AZ,85335.0,,MARICOPA,-112.34113,33.448563,28125.0,40100000000000.0,GroceryStore,0.09638371267150816,17.0,1.0
99,04013061200,48071.0,FRY'S 112,1575 N Dysart Rd,,Avondale,AZ,85323.0,,MARICOPA,-112.34087,33.457127,48072.0,40100000000000.0,GroceryStore,0.19126484677267558,17.0,1.0
100,04013061200,76192.0,Los Compadres Market,425 N Central Ave,,Avondale,AZ,85323.0,1998.0,MARICOPA,-112.34964,33.439632,76193.0,40100000000000.0,Market,0.05796106304328186,17.0,1.0
101,04013061200,16975.0,Walmart Supercenter 2554,13055 W Rancho Santa Fe Blvd,,Avondale,AZ,85392.0,1700.0,MARICOPA,-112.33854,33.460865000000005,16976.0,40100000000000.0,GroceryStore,0.09940474645771863,17.0,1.0
102,04013061300,,,,,,,,,,,,,,,3.989204532391526,2.0,0.0
103,04013061401,97839.0,MI RANCHITO 1,19 E Western Ave,,Avondale,AZ,85323.0,2341.0,MARICOPA,-112.34946000000001,33.435268,97840.0,40100000000000.0,Market,0.2184142938218878,2.0,1.0
104,04013061402,69380.0,Food City 83,323 E Main St,,Avondale,AZ,85323.0,2646.0,MARICOPA,-112.34595,33.431133,69381.0,40100000000000.0,GroceryStore,0.04206299921616873,8.0,1.0
105,04013071503,206371.0,FRY'S 122,10660 Grand Ave,,Sun City,AZ,85351.0,3433.0,MARICOPA,-112.2887,33.602463,206372.0,40100000000000.0,GroceryStore,0.1729478213602417,9.0,1.0
106,04013071504,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
107,04013071505,,,,,,,,,,,,,,,3.989204532391526,8.0,0.0
108,04013071506,,,,,,,,,,,,,,,3.989204532391526,1.0,0.0
109,04013071509,191555.0,Bashas' 120,7586 W Thunderbird Rd,,Peoria,AZ,85381.0,6077.0,MARICOPA,-112.22277,33.610325,191556.0,40100000000000.0,GroceryStore,0.1302279492133645,9.0,1.0
110,04013071509,86626.0,Target Store T-0825,8055 W Bell Rd,,Peoria,AZ,85382.0,3806.0,MARICOPA,-112.22991999999999,33.638020000000004,86627.0,40100000000000.0,GroceryStore,0.3139920954539178,9.0,1.0
111,04013071510,224675.0,Walmart Neighborhood Market 4275,7421 W Thunderbird Rd,,Peoria,AZ,85381.0,5036.0,MARICOPA,-112.21835,33.61034,224676.0,40100000000000.0,GroceryStore,0.018749842091588777,6.0,1.0
112,04013071511,,,,,,,,,,,,,,,3.989204532391526,8.0,0.0
113,04013071512,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
114,04013071513,,,,,,,,,,,,,,,3.989204532391526,2.0,0.0
115,04013071514,,,,,,,,,,,,,,,3.989204532391526,7.0,0.0
116,04013071515,,,,,,,,,,,,,,,3.989204532391526,5.0,0.0
117,04013071516,,,,,,,,,,,,,,,3.989204532391526,5.0,0.0
118,04013071517,120.0,Grand Ave Produce,8990 W Windsor Dr,,Peoria,AZ,85381.0,6152.0,MARICOPA,-112.25265,33.600914,121.0,40100000000000.0,Market,0.855754093653993,4.0,1.0
119,04013071517,103614.0,SAFEWAY  1841,12320 N 83rd Ave,,Peoria,AZ,85381.0,4155.0,MARICOPA,-112.23781000000001,33.597332,103615.0,40100000000000.0,GroceryStore,0.18096526083009512,4.0,1.0
120,04013071517,198204.0,Sprouts Farmers Market 6,8375 W Thunderbird Rd,,Peoria,AZ,85381.0,3685.0,MARICOPA,-112.23918,33.609913,198205.0,40100000000000.0,GroceryStore,0.08791002866375472,4.0,1.0
121,04013071600,,,,,,,,,,,,,,,3.989204532391526,9.0,0.0
122,04013071701,,,,,,,,,,,,,,,3.989204532391526,0.0,0.0
123,04013071702,,,,,,,,,,,,,,,3.989204532391526,13.0,0.0
124,04013071801,,,,,,,,,,,,,,,3.989204532391526,8.0,0.0
125,04013071802,,,,,,,,,,,,,,,3.989204532391526,7.0,0.0
126,04013071903,212967.0,FRY'S 45,7455 W Cactus Rd,,Peoria,AZ,85381.0,5399.0,MARICOPA,-112.21786999999999,33.595875,212968.0,40100000000000.0,GroceryStore,0.8624975999189325,6.0,1.0
127,04013071906,,,,,,,,,,,,,,,3.989204532391526,10.0,0.0
128,04013071909,,,,,,,,,,,,,,,3.989204532391526,1.0,0.0
129,04013071910,111264.0,Lee Lee Oriental Supermart 2,7575 W Cactus Rd,,Peoria,AZ,85381.0,,MARICOPA,-112.22178000000001,33.595795,111265.0,40100000000000.0,Market,0.9619153568140845,8.0,1.0
130,04013071911,58383.0,Peoria Discount Grocery,8150 W Peoria Ave,,Peoria,AZ,85345.0,6149.0,MARICOPA,-112.23483,33.58115,58384.0,40100000000000.0,GroceryStore,0.10574540244219122,10.0,1.0
131,04013071911,48485.0,Walmart Supercenter 1533,7975 W Peoria Ave,,Peoria,AZ,85345.0,5941.0,MARICOPA,-112.23052,33.581103999999996,48486.0,40100000000000.0,GroceryStore,0.034339328718300366,10.0,1.0
132,04013071912,,,,,,,,,,,,,,,3.989204532391526,4.0,0.0
133,04013071913,229280.0,Pataq Group Llc,8520 W Peoria Ave,,Peoria,AZ,85345.0,6400.0,MARICOPA,-112.24203,33.581051,229281.0,40100000000000.0,Market,0.08081344886321469,6.0,1.0
134,04013071914,,,,,,,,,,,,,,,3.989204532391526,1.0,0.0
135,04013071915,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
136,04013082002,,,,,,,,,,,,,,,3.989204532391526,6.0,0.0
