,Census Tract,Unnamed: 0,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Store_Type,distance,bus_stops,store_count
845,04013422646,151867.0,Safeway 2922,4316 S Signal Butte Road,,Mesa,AZ,85212.0,,MARICOPA,-111.60113,33.344421000000004,151868.0,40100000000000.0,GroceryStore,,,
846,04013522800,,,,,,,,,,,,,,,,,
847,04013522901,213984.0,Food City 26,1005 N Arizona Ave,,Chandler,AZ,85225.0,6693.0,MARICOPA,-111.8416,33.321049,213985.0,40100000000000.0,GroceryStore,,,
848,04013522903,,,,,,,,,,,,,,,,,
849,04013522904,,,,,,,,,,,,,,,,,
850,04013523002,,,,,,,,,,,,,,,,,
851,04013523003,201720.0,EL RANCHO MARKET,1076 N Arizona Ave,,Chandler,AZ,85225.0,6600.0,MARICOPA,-111.84168999999999,33.322193,201721.0,40100000000000.0,GroceryStore,,,
852,04013523005,195154.0,FRY'S 51,1950 W Ray Rd,,Chandler,AZ,85224.0,9008.0,MARICOPA,-111.87489,33.320686,195155.0,40100000000000.0,GroceryStore,,,
853,04013523006,33589.0,Bashas' 85,1920 W Chandler Blvd,,Chandler,AZ,85224.0,6173.0,MARICOPA,-111.87576000000001,33.306087,33590.0,40100000000000.0,GroceryStore,,,
854,04013523006,189153.0,Sprouts Farmers Market 1,1959 W Ray Rd,,Chandler,AZ,85224.0,4007.0,MARICOPA,-111.87523999999999,33.32045,189154.0,40100000000000.0,GroceryStore,,,
855,04013523102,91623.0,EL ALAMO SUPER CARNICERIA,773 E Chandler Blvd,,Chandler,AZ,85225.0,5637.0,MARICOPA,-111.82805,33.306171,91624.0,40100000000000.0,GroceryStore,,,
856,04013523102,141773.0,Payless Market,405 S Arizona Ave,,Chandler,AZ,85225.0,7522.0,MARICOPA,-111.84156999999999,33.296776,141774.0,40100000000000.0,Market,,,
857,04013523103,15224.0,SAFEWAY  1604,1159 W Chandler Blvd,,Chandler,AZ,85224.0,5202.0,MARICOPA,-111.86156000000001,33.305939,15225.0,40100000000000.0,GroceryStore,,,
858,04013523104,,,,,,,,,,,,,,,,,
859,04013610000,85221.0,Walmart SuperCenter 5329,4435 W Anthem Way,,Anthem,AZ,85086.0,467.0,MARICOPA,-112.15441000000001,33.871078000000004,85222.0,40100000000000.0,GroceryStore,,,
860,04013610100,,,,,,,,,,,,,,,,,
861,04013610200,,,,,,,,,,,,,,,,,
862,04013610300,90888.0,Fry's 78,39508 N Daisy Mtn Dr,,Anthem,AZ,85086.0,6056.0,MARICOPA,-112.13407,33.843224,90889.0,40100000000000.0,GroceryStore,,,
863,04013610300,172255.0,Safeway 3334,3655 W Anthem Way,,Anthem,AZ,85086.0,430.0,MARICOPA,-112.13766000000001,33.866207,172256.0,40100000000000.0,GroceryStore,,,
864,04013610400,,,,,,,,,,,,,,,,,
865,04013610500,,,,,,,,,,,,,,,,,
866,04013610600,193419.0,Albertsons 4,3130 W Carefree Hwy,,Phoenix,AZ,85086.0,3200.0,MARICOPA,-112.12767,33.798428,193420.0,40100000000000.0,GroceryStore,,,
867,04013610700,,,,,,,,,,,,,,,,,
868,04013610800,,,,,,,,,,,,,,,,,
869,04013610900,182863.0,Fry's 657,25401 N Lake Pleasant Pkwy,,Peoria,AZ,85383.0,1351.0,MARICOPA,-112.27122,33.713852,182864.0,40100000000000.0,GroceryStore,,,
870,04013610900,229826.0,Sprouts Farmers Market 31,10134 W Happy Valley Rd,,Peoria,AZ,85383.0,1216.0,MARICOPA,-112.27746,33.712471,229827.0,40100000000000.0,GroceryStore,,,
871,04013610900,95679.0,Target Store T-2227,24890 N Lake Pleasant Pkwy,,Peoria,AZ,85383.0,1348.0,MARICOPA,-112.27273999999998,33.709229,95680.0,40100000000000.0,GroceryStore,,,
872,04013611000,,,,,,,,,,,,,,,,,
873,04013611100,,,,,,,,,,,,,,,,,
874,04013611200,,,,,,,,,,,,,,,,,
875,04013611300,98955.0,FRY'S #694,2800 W Dove Valley Rd,,Phoenix,AZ,85085.0,5246.0,MARICOPA,-112.11555,33.783962,98956.0,40100000000000.0,GroceryStore,,,
876,04013611400,108324.0,Walmart Neighborhood Market 4233,6550 W Happy Valley Rd,,Glendale,AZ,85310.0,2614.0,MARICOPA,-112.20058,33.712276,108325.0,40100000000000.0,GroceryStore,,,
877,04013611500,,,,,,,,,,,,,,,,,
878,04013611600,117387.0,Safeway 2821,3800 W Happy Valley Rd,,Phoenix,AZ,85310.0,,MARICOPA,-112.13949,33.712906,117388.0,40100000000000.0,GroceryStore,,,
879,04013611700,81026.0,FRY'S 73,6625 W Happy Valley Rd,,Glendale,AZ,85310.0,2617.0,MARICOPA,-112.20096000000001,33.712185,81027.0,40100000000000.0,GroceryStore,,,
880,04013611800,,,,,,,,,,,,,,,,,
881,04013611900,,,,,,,,,,,,,,,,,
882,04013612000,,,,,,,,,,,,,,,,,
883,04013612200,,,,,,,,,,,,,,,,,
884,04013612300,82506.0,Walmart SuperCenter 5190,2501 W Happy Valley Rd,,Phoenix,AZ,85085.0,3701.0,MARICOPA,-112.11178000000001,33.712749,82507.0,40100000000000.0,GroceryStore,,,
885,04013612400,,,,,,,,,,,,,,,,,
886,04013612500,161702.0,FRY'S 67,4815 E Carefree Hwy Bldg 100,,Cave Creek,AZ,85331.0,4717.0,MARICOPA,-111.97634,33.799091,161703.0,40100000000000.0,GroceryStore,,,
887,04013612500,43379.0,Sprouts Farmers Market 44,5355 E. Carefree Hwy,Building A,Cave Creek,AZ,85331.0,,MARICOPA,-111.96607,33.799076,43380.0,40100000000000.0,GroceryStore,,,
888,04013612600,148676.0,SAFEWAY  1543,29834 N Cave Creek Rd,,Cave Creek,AZ,85331.0,5836.0,MARICOPA,-111.99002,33.756931,148677.0,40100000000000.0,GroceryStore,,,
889,04013612700,,,,,,,,,,,,,,,,,
890,04013612800,96618.0,Fry's 474,29411 N Cave Creek Rd,,Cave Creek,AZ,85331.0,2397.0,MARICOPA,-111.99263,33.752167,96619.0,40100000000000.0,GroceryStore,,,
891,04013612900,,,,,,,,,,,,,,,,,
