,Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId,FIPS,Census Tract
18669,Market Friendly,3701 E Grant Rd,,Tucson,AZ,85716,2935,PIMA,-110.9138,32.250587,18670,040190018016002,04019001801
18727,Tonys Mini Market Llc 1,3563 W Dunlap Ave,,Phoenix,AZ,85051,5303,MARICOPA,-112.13595,33.567501,18728,040131057021000,04013105702
18762,DOLLAR TREE 6516,2160 E Broadway Blvd,,Tucson,AZ,85719,5938,PIMA,-110.94004,32.221443,18763,040190007004012,04019000700
18780,99 Cents Only Store 314,1795 Kiowa Ave,,Lake Havasu City,AZ,86403,2847,MOHAVE,-114.35094,34.50301,18781,040159526001013,04015952600
19033,Walmart Supercenter 5835,34399 N Cave Creek Rd,,Cave Creek,AZ,85331,,MARICOPA,-111.96535,33.796413,19034,040136130002000,04013613000
19115,Henry's Market,3051 E 36th St,,Tucson,AZ,85713,4043,PIMA,-110.92693,32.191025,19116,040190021003008,04019002100
19196,Fast Market 8124,1520 N Verrado Way,,Buckeye,AZ,85396,1849,MARICOPA,-112.50427,33.467125,19197,040130506053331,04013050605
19255,Baker Chevron,777 W Beale St,,Kingman,AZ,86401,5703,MOHAVE,-114.06487,35.190731,19256,040159536023096,04015953602
19318,Dollar Tree 4669,8190 W Deer Valley Rd,Ste 110,Peoria,AZ,85382,2126,MARICOPA,-112.23535,33.681637,19319,040136139001041,04013613900
19383,Bati Bites,1510 W Mcdowell Rd,Ste 4,Phoenix,AZ,85007,1640,MARICOPA,-112.0919,33.465847,19384,040131119003006,04013111900
19434,Fry's 699,11203 E South Frontage Rd,,Yuma,AZ,85367,,YUMA,-114.44272,32.668858,19435,040270111101003,04027011110
19465,Family Dollar 8763,3202 E Greenway Rd,,Phoenix,AZ,85032,,MARICOPA,-112.01323,33.626457,19466,040131033033015,04013103303
19513,Dollar Store,5030 W McDowell Rd,Ste 25,Phoenix,AZ,85035,3947,MARICOPA,-112.16732,33.466007,19514,040131123012012,04013112301
19701,Fast Market 8145,1895 E Valencia Rd,,Tucson,AZ,85706,5817,PIMA,-110.94396,32.134224,19702,040190041221018,04019004122
20007,Chevron,3210 E Thomas Rd,,Phoenix,AZ,85018,7301,MARICOPA,-112.01222,33.48053,20008,040131109012010,04013110901
20021,Dollar General 14667,12355 N Tirco Rd,,Marana,AZ,85653,,PIMA,-111.35991,32.42931,20022,040190044191009,04019004419
20164,CVS Pharmacy 2412,60 E Deuce of Clubs,,Show Low,AZ,85901,4814,NAVAJO,-110.04169,34.250965,20165,040179652001028,04017965200
20171,Fast Market 8134,7060 E Baseline Rd,,Mesa,AZ,85209,4806,MARICOPA,-111.68134,33.379368,20172,040134226331024,04013422633
20251,Saguaro Express Liquor,1051 S Craycroft Rd,,Tucson,AZ,85711,7114,PIMA,-110.87497,32.208241,20252,040190035024013,04019003502
20532,Fast Mart,701 E Florence Blvd,,Casa Grande,AZ,85122,4656,PINAL,-111.74477,32.879528,20533,040210014061004,04021001406
21090,Family Dollar Store 10273,5 W Big Chino Rd,,Paulden,AZ,86334,3137,YAVAPAI,-112.46994,34.895329,21091,040250002041069,04025000204
21380,Antelope Recreation Center,910 Coppermine Rd,,Page,AZ,86040,0600,COCONINO,-111.45325,36.899048,21381,040050021007016,04005002100
21399,3 Palms Market And Deli,2115 S Mcclintock Dr,,Tempe,AZ,85282,2605,MARICOPA,-111.90907,33.40517,21400,040133194031000,04013319403
21520,Gas Plus,7465 Concho Dr,,Kingman,AZ,86401,,MOHAVE,-113.85415,35.382034,21521,040159504022625,04015950402
21668,Arco Ampm Gas Station 42593,8271 W Thunderbird Rd,,Peoria,AZ,85381,4629,MARICOPA,-112.23701,33.610004,21669,040130715093012,04013071509
21753,Walmart Neighborhood Market 3143,8640 E Broadway Blvd,,Tucson,AZ,85710,4014,PIMA,-110.80828,32.220825,21754,040190040703000,04019004070
21764,Youngtown Market Place,12238 N 111th Ave,,Youngtown,AZ,85363,1235,MARICOPA,-112.2988,33.596222,21765,040130716001015,04013071600
21856,Fast Market 8146,5005 N la Canada Dr,,Tucson,AZ,85704,1508,PIMA,-110.99525,32.297951,21857,040190046161014,04019004616
